Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
202,Hawamdeyya,0.0,0.0,,0,0,,0.0,0.0,
203,Qism El Hadayek,48.0,2074.0,43.208333333333336,2,12,0.0,3.8918202981106265,7.637716432664798,0.0
204,Obour Market,0.0,0.0,,0,0,,0.0,0.0,
205,Khanka,0.0,0.0,,0,0,,0.0,0.0,
206,Manshiyat Nasser,242.0,2516.0,10.396694214876034,8,6,0.0,5.493061443340548,7.830822995135316,0.0
207,Badr City,14.0,225.0,16.071428571428573,3,2,0.0,2.70805020110221,5.420534999272286,0.0
208,Bashtil,74.0,1131.0,15.283783783783784,5,13,0.0,4.31748811353631,7.0317412587631285,0.0
209,Filfil Mosque (Bashtil),25.0,397.09097550500013,15.883639020200006,3,3,0.0,3.258096538021482,5.986680560834483,0.0
210,Nasr St,60.0,289.0,4.816666666666666,6,2,0.0,4.110873864173311,5.66988092298052,0.0
211,Orabi Bridge,547.0,10147.356097751765,18.550925224409077,11,11,0.0,6.306275286948016,9.225067010540231,0.0
212,Megawra 3 (15th of May),2.0,0.0,0.0,2,0,1.0,1.0986122886681098,0.0,1.0986122886681098
213,Megawra 11 (15th of May),14.0,0.0,0.0,3,0,1.0,2.70805020110221,0.0,2.70805020110221
214,Saad Zaghloul Metro,9.0,96.0,10.666666666666666,2,2,0.0,2.302585092994046,4.574710978503383,0.0
215,Masaken Almaza,28.0,159.0,5.678571428571429,4,7,0.0,3.367295829986474,5.075173815233827,0.0
216,Faisal St & Ring Rd,147.0,1042.0,7.08843537414966,13,6,0.0,4.997212273764115,6.949856455000773,0.0
217,Mostorod Ring Rd,200.0,2293.7988801638694,11.468994400819348,9,10,0.0,5.303304908059076,7.738400484739044,0.0
218,Bab Al Shaaria Square,523.0,23478.0,44.89101338432123,12,14,0.0,6.261491684321042,10.063861683597258,0.0
219,Moassaset Al Zakah,2.0,198.0,99.0,1,2,0.0,1.0986122886681098,5.293304824724492,0.0
220,Al Marg Police,58.0,396.0,6.827586206896552,3,4,0.0,4.07753744390572,5.983936280687191,0.0
221,Applied Arts - Cairo University,184.0,960.0,5.217391304347826,9,6,0.0,5.220355825078324,6.8679744089702925,0.0
